address,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DietaryRestrictions,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HairSpecializesIn,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,is_open,latitude,longitude,name,postal_code,review_count,stars,state
"1616 Chapala St, Ste 2","","","","","","","","","","","",True,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Pns2l4eNsfO8kk83dixA6A,"Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists",Santa Barbara,"","","","","","","",0,34.4266787,-119.7111968,"Abby Rappoport, LAC, CMQ",93101,7,5.0,CA
87 Grasso Plaza Shopping Center,"","","","","","","","","",True,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",mpf3x-BjTdTEA3yCZrAYPw,"Shipping Centers, Local Services, Notaries, Mailbox Centers, Printing Services",Affton,8:0-18:30,0:0-0:0,8:0-14:0,"",8:0-18:30,8:0-18:30,8:0-18:30,1,38.551126,-90.335695,The UPS Store,63123,15,3.0,MO
5255 E Broadway Blvd,"","","","","","","",True,"",True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",False,False,False,"","",False,"","","","","",False,False,"","","",False,"","",False,"",2,False,"",False,"",True,u'no',tUFrWirKiKi_TAnsVWINQQ,"Department Stores, Shopping, Fashion, Home & Garden, Electronics, Furniture Stores",Tucson,8:0-23:0,8:0-22:0,8:0-23:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,0,32.223236,-110.880452,Target,85711,22,3.5,AZ
935 Race St,"","",u'none',"","","","",True,"",False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",False,True,"","","","","","","","","","","","","","",False,"","",False,"",1,"","",True,"","",u'free',MTSW4McQd7CbVtyjqoe9mw,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",Philadelphia,7:0-21:0,7:0-20:0,7:0-21:0,7:0-21:0,7:0-20:0,7:0-20:0,7:0-20:0,1,39.9555052,-75.1555641,St Honore Pastries,19107,80,4.0,PA
101 Walnut St,"","","","","","","",True,"",True,"{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False}","",False,"","","","","","",True,"","","","","","","","","","","","","","","",True,"",True,"",mWMc6_wTdE0EUBKIGXDVfA,"Brewpubs, Breweries, Food",Green Lane,12:0-22:0,"",12:0-22:0,12:0-18:0,16:0-22:0,"",14:0-22:0,1,40.3381827,-75.4716585,Perkiomen Valley Brewery,18054,13,4.5,PA
615 S Main St,"","",u'none',None,"","","",False,"",True,None,False,False,False,"","",False,True,"",True,"","",False,True,"","","",True,u'casual',"",True,True,1,False,False,True,"",True,u'no',CF33F8-E6oudUQ46HnavjQ,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",Ashland City,9:0-0:0,0:0-0:0,9:0-22:0,8:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,1,36.269593,-87.058943,Sonic Drive-In,37015,6,2.0,TN
"8522 Eager Road, Dierbergs Brentwood Point","","","","","","","",True,"",True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","","","","","","","","","","","","","","","","","","","","",2,"","","","","","",n_0UpQx1hsNbnPUSlodU8w,"Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Accessories",Brentwood,10:0-18:0,0:0-0:0,10:0-18:0,12:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,1,38.627695,-90.340465,Famous Footwear,63144,13,2.5,MO
400 Pasadena Ave S,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",qkRM_2X51Yqxk3btlwAQIg,"Synagogues, Religious Organizations",St. Petersburg,9:0-17:0,9:0-17:0,"","",9:0-17:0,9:0-17:0,9:0-17:0,1,27.76659,-82.732983,Temple Beth-El,33707,5,3.5,FL
8025 Mackenzie Rd,"","",u'full_bar',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","","","","","",True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","",True,"","","","","","",True,"","","",True,"",u'average',"",True,u'casual',"",False,True,1,False,"",True,"","",u'free',k0hlBqXX-Bt0vf1op7Jr1w,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek",Affton,"","","","","","","",0,38.5651648,-90.3210868,Tsevi's Pub And Grill,63123,19,3.0,MO
2312 Dickerson Pike,"","",u'none',"","","","","","",True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",False,False,False,"","",False,True,"",True,"","",False,True,"","","",True,'casual',"",True,False,1,False,False,True,"",True,u'no',bBDDEgkFA1Otx9Lfe7BZUQ,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",Nashville,6:0-16:0,0:0-0:0,6:0-17:0,6:0-21:0,6:0-16:0,6:0-21:0,6:0-21:0,1,36.2081024,-86.7681696,Sonic Drive-In,37207,10,1.5,TN
