business_id,name,stars,conclusion
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ",5.0,very recommended
mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,3.0,average
tUFrWirKiKi_TAnsVWINQQ,Target,3.5,recommended
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,4.0,recommended
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,4.5,very recommended
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,2.0,not recommended
n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,2.5,average
qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,3.5,recommended
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,3.0,average
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,1.5,not recommended
UJsufbvfyfONHeWdvAHKjA,Marshalls,3.5,recommended
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,4.0,recommended
il_Ro8jwPlHresjw9EGmBg,Denny's,2.5,average
jaxMSoInw8Poo3XeMJt8lQ,Adams Dental,5.0,very recommended
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,4.5,very recommended
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,4.0,recommended
rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,4.5,very recommended
M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,4.0,recommended
8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,3.5,recommended
